timestamp,data1,data2,data3,data4,data5,data6,label
3.387,0.12659,0.40063,1.11499,153.32031,-95.1538,-14.03808,1
3.397,0.13,0.42102,1.11279,162.96385,-88.562,-17.63916,1
3.408,0.14172,0.44885,1.10522,170.83739,-78.55225,-22.15576,1
3.419,0.15405,0.48682,1.09167,176.63573,-57.92236,-32.71484,1
3.429,0.1615,0.5199,1.06592,175.47606,-50.41504,-37.90283,1
3.44,0.16455,0.53662,1.04102,174.25536,-45.53222,-43.09082,1
3.45,0.15649,0.54041,1.01294,174.92674,-42.29736,-47.54638,1
3.461,0.12927,0.53296,0.96631,176.63573,-39.97803,-49.86572,1
3.472,0.09521,0.51599,0.90991,178.03954,-38.94043,-49.62158,1
3.482,0.06555,0.49878,0.84998,177.79539,-38.81836,-47.66845,1
3.493,0.04163,0.49365,0.79163,175.35399,-38.08594,-44.67773,1
3.504,0.03674,0.54163,0.74744,172.4243,-35.94971,-41.44287,1
3.514,0.04358,0.57703,0.75647,171.02049,-33.08105,-39.18457,1
3.525,0.04553,0.61182,0.77161,170.83739,-30.76172,-37.8418,1
3.535,0.06042,0.65356,0.78955,171.02049,-29.54101,-37.17041,1
3.546,0.0835,0.68567,0.76636,172.4243,-28.38135,-38.20801,1
3.557,0.09302,0.68787,0.67908,174.01122,-25.8789,-41.80908,1
3.567,0.06555,0.67444,0.6073,169.25047,-21.42334,-46.69189,1
3.578,-0.00525,0.65076,0.60498,146.66748,-11.41357,-46.56982,1
3.588,-0.09131,0.62427,0.61621,142.27295,-11.47461,-36.92627,1
3.599,-0.14404,0.6189,0.59949,139.95361,-12.87842,-23.98681,1
3.61,-0.13855,0.64148,0.58276,136.2915,-11.59668,-13.24463,1
3.62,-0.09167,0.6842,0.58081,131.7749,-5.24902,-8.11768,1
3.631,-0.03455,0.72229,0.57654,129.39453,5.31006,-8.78906,1
3.642,0.00684,0.7334,0.54688,130.31006,15.93017,-12.51221,1
3.652,0.01819,0.72388,0.48206,130.37109,23.13232,-15.44189,1
3.663,-0.01013,0.71045,0.35217,125.1831,26.06201,-15.25879,1
3.673,-0.00171,0.71875,0.33679,115.41747,24.90234,-12.45117,1
3.684,0.01892,0.74707,0.35767,105.40771,21.11816,-9.58252,1
3.695,0.04126,0.78003,0.37512,99.54833,18.06641,-7.87353,1
3.705,0.05066,0.79663,0.3551,98.57177,17.51709,-7.8125,1
3.716,0.04126,0.79211,0.30042,99.18212,19.34814,-8.23975,1
3.726,0.02698,0.77698,0.23682,97.53417,22.03369,-7.26318,1
3.737,0.02234,0.77197,0.1936,83.06884,21.48437,-3.60107,1
3.748,0.03979,0.79065,0.17688,73.18115,19.34814,-3.23486,1
3.758,0.06787,0.82263,0.18677,63.96484,18.49365,-4.88281,1
3.769,0.08301,0.8446,0.21216,58.04443,17.8833,-6.95801,1
3.78,0.07739,0.8512,0.22949,57.00683,16.90674,-7.14111,1
3.79,0.05762,0.85156,0.21753,58.65478,15.93017,-4.63867,1
3.801,0.03894,0.84717,0.18213,57.55615,15.25879,-0.54932,1
3.811,0.03467,0.84216,0.15796,52.24609,15.19775,2.92969,1
